location_id,date,max_units,max_weight_kg,max_shipments
DC01,2025-09-01,2259,11478,57
DC01,2025-09-02,3117,8158,55
DC01,2025-09-03,4228,8080,44
DC01,2025-09-04,2370,17670,54
DC01,2025-09-05,2966,8254,58
DC01,2025-09-06,2737,8560,24
DC01,2025-09-07,3662,17831,24
DC01,2025-09-08,2722,14211,42
DC01,2025-09-09,4182,9865,30
DC01,2025-09-10,2151,14099,33
DC01,2025-09-11,4003,13500,26
DC01,2025-09-12,4319,10662,51
DC01,2025-09-13,2827,14657,28
DC01,2025-09-14,2635,10994,35
DC01,2025-09-15,2023,16507,49
DC01,2025-09-16,3263,15636,51
DC01,2025-09-17,2198,11145,44
DC01,2025-09-18,3751,15657,31
DC01,2025-09-19,3102,14528,47
DC01,2025-09-20,2094,12216,48
DC01,2025-09-21,4428,12110,31
DC01,2025-09-22,3310,10144,34
DC01,2025-09-23,3670,12086,33
DC01,2025-09-24,3866,8304,26
DC01,2025-09-25,2388,12265,55
DC01,2025-09-26,3917,16166,35
DC01,2025-09-27,3842,10436,36
DC01,2025-09-28,3031,10336,31
DC01,2025-09-29,2918,8827,25
DC01,2025-09-30,4404,9254,32
DC01,2025-10-01,4376,13711,31
DC01,2025-10-02,3082,16400,28
DC01,2025-10-03,3539,13087,27
DC01,2025-10-04,3066,11805,53
DC01,2025-10-05,4461,11932,31
DC01,2025-10-06,2934,15236,56
DC01,2025-10-07,4160,13389,25
DC01,2025-10-08,2014,8345,59
DC01,2025-10-09,3570,15696,44
DC01,2025-10-10,3376,13649,50
DC01,2025-10-11,2645,11102,26
DC01,2025-10-12,3192,9780,41
DC01,2025-10-13,3413,8419,40
DC01,2025-10-14,2173,9319,29
DC01,2025-10-15,4168,12817,28
DC01,2025-10-16,2888,10389,39
DC01,2025-10-17,4006,11337,54
DC01,2025-10-18,3630,14870,42
DC01,2025-10-19,4217,15130,28
DC01,2025-10-20,3099,13604,44
DC01,2025-10-21,2816,10729,43
DC01,2025-10-22,2938,17781,43
DC01,2025-10-23,2051,10060,44
DC01,2025-10-24,2002,9244,56
DC01,2025-10-25,3631,15752,29
DC01,2025-10-26,3245,10058,37
DC01,2025-10-27,4361,13391,41
DC01,2025-10-28,3821,15646,20
DC01,2025-10-29,3504,17175,24
DC01,2025-10-30,2344,14545,37
DC01,2025-10-31,3394,11522,21
DC01,2025-11-01,2705,11898,45
DC01,2025-11-02,3649,16977,50
DC01,2025-11-03,4468,9301,30
DC01,2025-11-04,3020,14384,33
DC01,2025-11-05,2680,17731,54
DC01,2025-11-06,3386,13994,34
DC01,2025-11-07,2516,16922,32
DC01,2025-11-08,2984,9209,34
DC01,2025-11-09,2755,12095,45
DC01,2025-11-10,3819,11636,54
DC01,2025-11-11,4059,14130,42
DC01,2025-11-12,4062,16056,27
DC01,2025-11-13,2101,9655,51
DC01,2025-11-14,3062,16336,23
DC01,2025-11-15,2636,9015,40
DC01,2025-11-16,3714,16508,24
DC01,2025-11-17,2853,10254,37
DC01,2025-11-18,3397,15151,50
DC01,2025-11-19,3701,11975,28
DC01,2025-11-20,2462,12235,58
DC01,2025-11-21,3933,10686,53
DC01,2025-11-22,3958,8089,47
DC01,2025-11-23,2115,16012,56
DC01,2025-11-24,2524,17858,39
DC01,2025-11-25,3819,14376,26
DC01,2025-11-26,3195,11936,46
DC01,2025-11-27,2949,12331,46
DC01,2025-11-28,4321,12643,38
DC01,2025-11-29,4412,16124,46
DC01,2025-11-30,2487,13556,21
DC01,2025-12-01,3293,12842,56
DC01,2025-12-02,2105,15196,50
DC01,2025-12-03,2792,11690,25
DC01,2025-12-04,4167,10473,33
DC01,2025-12-05,2106,12040,26
DC01,2025-12-06,3809,15490,47
DC01,2025-12-07,2768,13199,33
DC01,2025-12-08,4489,15952,26
DC01,2025-12-09,2334,12825,27
DC01,2025-12-10,4119,11726,54
DC01,2025-12-11,4101,16610,27
DC01,2025-12-12,2359,11518,47
DC01,2025-12-13,2072,16490,41
DC01,2025-12-14,4098,13247,33
DC01,2025-12-15,2119,9864,36
DC01,2025-12-16,3934,12885,39
DC01,2025-12-17,3836,14575,39
DC01,2025-12-18,2917,15052,20
