location_id,sku_id,on_hand_qty,safety_stock,reorder_point,unit_cost,last_updated
DC01,SKU0001,57,15,33,11.9,2025-09-07
DC01,SKU0002,62,15,61,14.16,2025-09-04
DC01,SKU0003,56,10,58,2.68,2025-09-03
DC01,SKU0004,66,21,61,3.85,2025-10-13
DC01,SKU0005,75,19,62,12.27,2025-12-20
DC01,SKU0006,71,25,55,7.01,2025-10-05
DC01,SKU0007,50,27,26,5.77,2025-10-20
DC01,SKU0008,73,17,69,6.67,2025-12-22
DC01,SKU0009,61,26,40,8.84,2025-09-28
DC01,SKU0010,51,23,45,2.06,2025-09-07
DC01,SKU0011,65,14,20,13.6,2025-12-22
DC01,SKU0012,59,21,55,3.74,2025-10-08
DC01,SKU0013,66,18,36,2.29,2025-12-16
DC01,SKU0014,47,13,47,2.52,2025-10-26
DC01,SKU0015,61,20,56,10.57,2025-11-15
DC01,SKU0016,58,16,30,6.51,2025-12-21
DC01,SKU0017,73,12,26,1.29,2025-12-07
DC01,SKU0018,64,23,49,2.61,2025-12-04
DC01,SKU0019,49,11,27,13.68,2025-10-23
DC01,SKU0020,59,21,60,3.13,2025-09-15
DC01,SKU0021,45,17,65,1.06,2025-11-21
DC01,SKU0022,67,27,41,12.27,2025-11-27
DC01,SKU0023,64,26,59,4.83,2025-11-28
DC01,SKU0024,57,20,43,3.92,2025-11-25
DC01,SKU0025,54,14,34,12.69,2025-10-18
DC01,SKU0026,68,20,20,4.09,2025-11-18
DC01,SKU0027,68,29,37,14.77,2025-11-27
DC01,SKU0028,57,21,59,4.31,2025-10-27
DC01,SKU0029,51,13,41,7.99,2025-11-13
DC01,SKU0030,63,29,53,8.85,2025-12-17
DC01,SKU0031,61,10,56,1.91,2025-10-18
DC01,SKU0032,64,19,32,7.13,2025-10-05
DC01,SKU0033,60,15,67,10.53,2025-12-22
DC01,SKU0034,63,12,28,13.45,2025-09-02
DC01,SKU0035,45,25,60,11.61,2025-10-04
DC01,SKU0036,65,17,46,4.03,2025-11-04
DC01,SKU0037,56,10,66,11.15,2025-10-18
DC01,SKU0038,62,27,36,9.16,2025-10-22
DC01,SKU0039,58,15,29,14.54,2025-12-21
DC01,SKU0040,54,23,41,9.71,2025-10-28
DC01,SKU0041,68,22,56,4.51,2025-11-11
DC01,SKU0042,61,15,41,7.51,2025-11-27
DC01,SKU0043,69,29,53,3.02,2025-10-30
DC01,SKU0044,49,25,31,1.24,2025-10-09
DC01,SKU0045,73,29,52,4.02,2025-09-01
DC01,SKU0046,69,11,39,4.08,2025-10-16
DC01,SKU0047,66,26,34,14.24,2025-11-16
DC01,SKU0048,49,27,54,11.44,2025-12-23
DC01,SKU0049,74,19,60,10.07,2025-09-06
DC01,SKU0050,63,19,32,8.06,2025-11-18
DC01,SKU0051,62,18,67,10.05,2025-11-17
DC01,SKU0052,62,25,53,6.3,2025-11-09
DC01,SKU0053,50,14,26,6.03,2025-09-04
DC01,SKU0054,57,12,35,10.68,2025-10-15
DC01,SKU0055,71,14,26,14.11,2025-09-05
DC01,SKU0056,56,24,33,11.1,2025-11-29
DC01,SKU0057,67,17,23,10.98,2025-09-15
DC01,SKU0058,74,24,41,8.86,2025-10-31
DC01,SKU0059,58,13,39,1.82,2025-09-16
DC01,SKU0060,58,18,37,1.82,2025-10-30
DC01,SKU0061,69,11,26,4.25,2025-10-12
DC01,SKU0062,53,25,26,14.14,2025-12-19
DC01,SKU0063,66,25,26,3.67,2025-10-25
DC01,SKU0064,62,24,68,3.85,2025-09-20
DC01,SKU0065,53,18,53,12.66,2025-10-17
DC01,SKU0066,46,20,22,12.84,2025-12-21
DC01,SKU0067,62,29,65,11.82,2025-10-05
DC01,SKU0068,58,24,62,5.36,2025-11-04
DC01,SKU0069,57,24,31,14.2,2025-10-28
DC01,SKU0070,59,27,33,11.67,2025-11-06
DC01,SKU0071,74,10,32,8.48,2025-09-22
DC01,SKU0072,63,14,64,6.08,2025-10-05
DC01,SKU0073,56,20,36,1.44,2025-11-25
DC01,SKU0074,59,18,44,11.5,2025-09-02
DC01,SKU0075,46,29,38,8.74,2025-10-07
DC01,SKU0076,64,11,52,14.62,2025-10-23
DC01,SKU0077,62,12,29,10.63,2025-09-18
DC01,SKU0078,57,12,55,5.39,2025-09-21
DC01,SKU0079,66,23,49,12.35,2025-10-25
DC01,SKU0080,55,24,36,11.28,2025-12-22
DC02,SKU0001,67,27,35,6.18,2025-11-07
DC02,SKU0002,62,19,37,3.01,2025-10-15
DC02,SKU0003,61,19,40,12.06,2025-09-06
DC02,SKU0004,77,28,44,1.76,2025-10-18
DC02,SKU0005,62,23,41,3.67,2025-12-20
DC02,SKU0006,63,29,51,6.55,2025-10-06
DC02,SKU0007,61,14,32,4.16,2025-11-13
DC02,SKU0008,56,10,33,8.51,2025-09-16
DC02,SKU0009,61,16,42,1.13,2025-10-13
DC02,SKU0010,60,20,45,9.01,2025-10-05
DC02,SKU0011,56,23,54,2.69,2025-11-29
DC02,SKU0012,46,21,28,4.18,2025-09-26
DC02,SKU0013,67,25,21,13.85,2025-10-19
DC02,SKU0014,54,13,65,10.56,2025-12-05
DC02,SKU0015,50,20,23,10.54,2025-11-11
DC02,SKU0016,58,27,23,6.82,2025-12-15
DC02,SKU0017,59,21,58,2.31,2025-09-30
DC02,SKU0018,53,23,44,5.0,2025-12-15
DC02,SKU0019,57,24,56,2.86,2025-10-28
DC02,SKU0020,60,23,69,11.63,2025-09-11
DC02,SKU0021,59,16,51,2.62,2025-09-08
DC02,SKU0022,71,10,48,5.74,2025-09-20
DC02,SKU0023,46,26,33,1.8,2025-11-06
DC02,SKU0024,52,12,20,14.69,2025-10-18
DC02,SKU0025,63,17,20,6.42,2025-12-21
DC02,SKU0026,56,28,61,9.48,2025-09-10
